time,interval,encR,encL,wR,wL,wdotR,wdotL,wddotR,wddotL,pwmR,pwmL
4.835182189941406,0.00027108192443847656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50,50
4.869514226913452,0.001024007797241211,0,125,0.0,654.4984694978735,0.0,16362.461737446838,0.0,409061.54343617096,50,50
4.903133153915405,0.0006580352783203125,0,125,0.0,0.0,0.0,-16362.461737446838,0.0,-818123.0868723419,50,50
4.935721158981323,0.0006649494171142578,0,125,0.0,0.0,0.0,0.0,0.0,409061.54343617096,50,50
4.969304084777832,0.0006759166717529297,0,125,0.0,0.0,0.0,0.0,0.0,0.0,50,50
5.003178119659424,0.0006577968597412109,0,125,0.0,0.0,0.0,0.0,0.0,0.0,50,50
5.0352630615234375,0.0006709098815917969,0,125,0.0,0.0,0.0,0.0,0.0,0.0,50,50
5.0693440437316895,0.0006840229034423828,0,125,0.0,0.0,0.0,0.0,0.0,0.0,50,50
5.103476047515869,0.0007319450378417969,0,125,0.0,0.0,0.0,0.0,0.0,0.0,60,60
5.1352832317352295,0.0006699562072753906,1,126,5.235987755982988,5.235987755982988,130.8996938995747,130.8996938995747,3272.492347489367,3272.492347489367,60,60
5.1685950756073,0.0006761550903320312,5,126,20.94395102393195,0.0,392.6990816987241,-130.8996938995747,6544.984694978735,-6544.984694978734,60,60
5.203120231628418,0.0006639957427978516,10,126,26.17993877991494,0.0,130.89969389957474,0.0,-6544.984694978734,3272.492347489367,60,60
5.235608100891113,0.0006730556488037109,18,126,41.8879020478639,0.0,392.69908169872406,0.0,6544.9846949787325,0.0,60,60
5.269007205963135,0.0006699562072753906,28,126,52.35987755982988,0.0,261.7993877991495,0.0,-3272.4923474893644,0.0,60,60
5.303183078765869,0.0006780624389648438,39,126,57.595865315812866,0.0,130.89969389957457,0.0,-3272.4923474893726,0.0,60,60
5.335696220397949,0.0007309913635253906,51,126,62.83185307179586,0.0,130.8996938995749,0.0,8.526512829121202e-12,0.0,60,60
5.368940114974976,0.0006659030914306641,64,126,68.06784082777885,0.0,130.89969389957474,0.0,-4.263256414560601e-12,0.0,60,60
5.403124094009399,0.0006680488586425781,78,126,73.30382858376184,0.0,130.89969389957474,0.0,0.0,0.0,60,60
5.435710191726685,0.0007510185241699219,92,126,73.30382858376184,0.0,0.0,0.0,-3272.4923474893685,0.0,60,60
5.468955039978027,0.0006740093231201172,107,126,78.53981633974482,0.0,130.89969389957437,0.0,3272.4923474893594,0.0,60,60
5.50310206413269,0.0006589889526367188,123,126,83.7758040957278,0.0,130.89969389957474,0.0,9.237055564881302e-12,0.0,60,60
5.5357701778411865,0.0006718635559082031,139,126,83.7758040957278,0.0,0.0,0.0,-3272.4923474893685,0.0,60,60
5.568961143493652,0.0006740093231201172,155,128,83.7758040957278,10.471975511965976,0.0,261.7993877991494,0.0,6544.984694978734,60,60
